"","question","answer","value","question_number","answer_number"
"94","Name something you might see at a comic convention.","SEXYNERDS",1,8,37
"95","Name something you might see at a comic convention.","THISSURVEY",1,8,38
"96","Name something you might see at a comic convention.","VIRGINS",1,8,39
"97","Name an overpowered Pokemon.","MEWTWO",14,18,1
"98","Name an overpowered Pokemon.","MEW",5,18,2
"99","Name an overpowered Pokemon.","ARCEUS",4,18,3
"100","Name an overpowered Pokemon.","CHARIZARD",4,18,4
"101","Name an overpowered Pokemon.","DITTO",2,18,5
"102","Name an overpowered Pokemon.","GIRATINA",2,18,6
"103","Name an overpowered Pokemon.","JIGGLYPUFF",2,18,7
"104","Name an overpowered Pokemon.","MAGIKARP",2,18,8
"105","Name an overpowered Pokemon.","PIKACHU",2,18,9
"106","Name an overpowered Pokemon.","RAYQUAZA",2,18,10
"107","Name an overpowered Pokemon.","ALAKAZAM",1,18,11
"108","Name an overpowered Pokemon.","ARSIUS",1,18,12
"109","Name an overpowered Pokemon.","ASH",1,18,13
"110","Name an overpowered Pokemon.","BIDOF",1,18,14
"111","Name an overpowered Pokemon.","BLAZIKEN",1,18,15
"112","Name an overpowered Pokemon.","CHARAZZARD",1,18,16
"113","Name an overpowered Pokemon.","CHARMANDER",1,18,17
"114","Name an overpowered Pokemon.","COBALION",1,18,18
"115","Name an overpowered Pokemon.","DITO",1,18,19
"116","Name an overpowered Pokemon.","KIK",1,18,20
"117","Name an overpowered Pokemon.","MEGARAQUAZA",1,18,21
"118","Name an overpowered Pokemon.","MEWTO",1,18,22
"119","Name an overpowered Pokemon.","PEKACHU",1,18,23
"120","Name an overpowered Pokemon.","PICACHO",1,18,24
"121","Name an overpowered Pokemon.","PICHU",1,18,25
"122","Name an overpowered Pokemon.","PSYDUCK",1,18,26
"123","Name an overpowered Pokemon.","RATTATA",1,18,27
"124","Name an overpowered Pokemon.","SQUIRTLE",1,18,28
"125","Name something you want to know about a movie before you see it.","CAST",5,12,1
"126","Name something you want to know about a movie before you see it.","TITLE",5,12,2
"127","Name something you want to know about a movie before you see it.","ACTORS",4,12,3
"128","Name something you want to know about a movie before you see it.","GENRE",4,12,4
"129","Name something you want to know about a movie before you see it.","DIRECTOR",3,12,5
"130","Name something you want to know about a movie before you see it.","DOESTHEDOGDIE",2,12,6
"131","Name something you want to know about a movie before you see it.","ISITGOOD",2,12,7
"132","Name something you want to know about a movie before you see it.","NAME",2,12,8
"133","Name something you want to know about a movie before you see it.","NOTHING",2,12,9
"134","Name something you want to know about a movie before you see it.","PLOT",2,12,10
"135","Name something you want to know about a movie before you see it.","QUALITY",2,12,11
"136","Name something you want to know about a movie before you see it.","THECAST",2,12,12
"137","Name something you want to know about a movie before you see it.","THEPLOT",2,12,13
"138","Name something you want to know about a movie before you see it.","WHOISINIT",2,12,14
"139","Name something you want to know about a movie before you see it.","WHOSINIT",2,12,15
"140","Name something you want to know about a movie before you see it.","ANYTHING",1,12,16
"141","Name something you want to know about a movie before you see it.","ARETHEREKNOWNACTORSANDIFSOHAVETHEYBEENANYGOODINTHEPAST",1,12,17
"142","Name something you want to know about a movie before you see it.","ARETHERENAKEDWOMEN",1,12,18
"143","Name something you want to know about a movie before you see it.","BASICPLOT",1,12,19
"144","Name something you want to know about a movie before you see it.","BECHDELTEST",1,12,20
"145","Name something you want to know about a movie before you see it.","CASTLIST",1,12,21
"146","Name something you want to know about a movie before you see it.","CASTOFCHARACTERS",1,12,22
"147","Name something you want to know about a movie before you see it.","DOESANYTHINGBLOWUP",1,12,23
"148","Name something you want to know about a movie before you see it.","DOESITSUCK",1,12,24
"149","Name something you want to know about a movie before you see it.","HOTGUYS",1,12,25
"150","Name something you want to know about a movie before you see it.","ISITAHORRORMOVIE",1,12,26
"151","Name something you want to know about a movie before you see it.","ISITLIKETHEBOOK",1,12,27
"152","Name something you want to know about a movie before you see it.","ITSACTORS",1,12,28
"153","Name something you want to know about a movie before you see it.","KIK",1,12,29
"154","Name something you want to know about a movie before you see it.","LENGTH",1,12,30
"155","Name something you want to know about a movie before you see it.","MPRATING",1,12,31
"156","Name something you want to know about a movie before you see it.","PLOTLINE",1,12,32
"157","Name something you want to know about a movie before you see it.","RATED",1,12,33
"158","Name something you want to know about a movie before you see it.","REVIEWS",1,12,34
"159","Name something you want to know about a movie before you see it.","ROTTENTOMATOESSCORE",1,12,35
"160","Name something you want to know about a movie before you see it.","RUNTIME",1,12,36
"161","Name something you want to know about a movie before you see it.","SETTING",1,12,37
"162","Name something you want to know about a movie before you see it.","SOMEONEWILLDIE",1,12,38
"163","Name something you want to know about a movie before you see it.","STARS",1,12,39
"164","Name something you want to know about a movie before you see it.","THATNOBODYDIES",1,12,40
"165","Name something you want to know about a movie before you see it.","THECRITICREVIEWS",1,12,41
"166","Name something you want to know about a movie before you see it.","THEGENRE",1,12,42
"167","Name something you want to know about a movie before you see it.","WEREALLTHEBESTJOKESINTHETRAILER",1,12,43
"168","Name something you want to know about a movie before you see it.","WHATSONTHESOUNDTRACK",1,12,44
"169","Name something you want to know about a movie before you see it.","WHATTHESTORYISABOUT",1,12,45
"170","Name something you want to know about a movie before you see it.","WHODIES",1,12,46
"171","Name something you want to know about a movie before you see it.","WHOISTHEBADGUY",1,12,47
"172","Name something you want to know about a movie before you see it.","WHOSTARS",1,12,48
"173","Name something you want to know about a movie before you see it.","WILLFERREL",1,12,49
"174","Name something you might leave plugged in all the time.","COMPUTER",17,5,1
"175","Name something you might leave plugged in all the time.","TV",9,5,2
"176","Name something you might leave plugged in all the time.","PHONECHARGER",7,5,3
